,name,date,rating,review
0,im_so_meta,"Jul 27, 2019",10,"Homelander is genuinely one of the best villains I’ve seen put to screen. Such a brilliantly reserved, nuanced and menancing display of acting. The story was great as well, with good pacing, and had me hooked throughout its 8 episode run time."
1,Spaulding1980,"Aug  7, 2019",8,"I was pleasantly surprised. This isn't a show about superheros, rather it is about corruption, vengeance, and ego rather than it being about Superman fighting villain X. In fact, the show is a timely twist on the superhero genre. The good: good acting, strong world construction, believable characters, good dialogue, entertaining, and mentioned earlier, developed and well-done themes. The bad: the violence is slightly overdone (body parts and people explode every episode), but it is on par with modern TV these days (Rome, Game of Thrones, etc.)."
2,nurall,"Nov 14, 2019",10,best show i've seen all year. i didn't know anything about the show when i saw it except that everyone was telling me to watch it.
3,FireCard,"Nov  6, 2019",10,8 hours of enjoiment. One of the best series now. I am looking forward to continuing.
4,JonDoc,"Aug 13, 2019",10,"The is the new Game of Thrones.  Utterly compelling, dark, unpredictable, hopeful. This is a post-modern anti-superhero superhero story. So many engaging themes- famous cameos too! A multilayered delight. If you feel you’ve seen every type of superhero film. Watch The Boys."
5,dogboy,"Aug 25, 2019",10,This show is just pure awesomesauce.  Fantastic casting and truly terrifying superheroes.  Love it.
6,drlowdon,"Oct 10, 2020",8,"Based on the comic book of the same name, The Boys follows a team of vigilantes as they investigate the shady Voight corporation and their teams of ‘super heroes’ who abuse their abilities. Whilst this adaptation shares many of the characters, and some of the major plot points, with the comic books the creators have very much decided to plot their own course rather than faithfully recreate the comics frame by frame. Sometimes its for the better, sometimes it’s not, but overall they’ve done a good job of bringing this world to our screens and I look forward to season two."
7,mrmonster,"Jul 30, 2019",8,"The Boys is a great show, with a very engaging plot, very engaging protagonists, and a really good villain. Over all, everything about this show just works, it's so good.."
8,ShiArch,"Aug 11, 2019",10,Don't trust the critics they just want boring and artsy documentaries.This is the best show on TV this year. Better than any marvel movie and better than any TV show. Dude who played the role of Homelander shall be given an Oscar for best acting. Awesome series. 10/10
9,Angel_Sigh,"Aug 12, 2019",8,"I've only watched the first three episodes but I felt like I had to say something about this series. There have been so many attempts at interesting superhero tv shows over the years and none have been entirely successful. Heroes had its first season, but that was fifteen years ago, and recently there has been a glut of shows like Umbrella Academy, Jessica Jones, Legion, etc... None have quite worked and most have been pretty dismal. So I didn't have particularly high hopes for this. And I don't read comic books, so I've no idea about the story this is based on. And Karl Urban's accent in the trailers almost put me off altogether(whoever told him he could do a ""Bri'ish accent ma'ey gorblummy luvaduggle"" should be put on trial at the Hague). But it kicks off with one of the strongest first episodes I've ever seen and keeps going, introducing an utterly moreish cast of nutty characters and superhero archetypes, all with their own appealing/disgusting traits.The plot and motivations of the main characters have been kept in the vault so far, but the Seven, the group of all-conquering and utterly terrifying superheroes who serve as the sort-of bad guys in the show, are all, without exception, fantastic characters. Plenty of people have mentioned how brilliant a bad guy Homelander(the Superman stand-in) is, but The Deep, the useless Aquaman-type poseur, who gets tip-offs from porpoises, and Translucent, the lecherous invisible man who hangs around the women's lavs, are both excellent. The writing is not comedic, but it's sparky and funny enough to keep you engaged throughout, and there are some superb scenes that depict perfectly the way corporate America would respond to, and attempt to mould, superheroes if they actually existed. We get to see an innocent, idealistic young woman, inducted into The Seven early on, bridle and buck as Vought, the giant mega-corporation that controls the superheroes(and most of Washington), bombards her with publicity-speak recommendations about everything from the things she says to the clothes she wears. One of my favourite scenes is where a couple of PR goons are wheeled in to convince her that the skimpy new costume she's being coerced into wearing is actually 'empowering' and 'feminist'. The quality of the writing is very, very good - it crackles. It's a gory show - there's a lot of blood and brains, assorted viscera, and there are scenes warning of the dangers of dynamite suppositories; some of it is not exactly sophisticated. And yet...it's got intelligence. It's not dumb, you can tell that there are talented, intelligent people controlling the flow of the show. There is a bite to its satirical elements. It handles the cynicism of Vought perfectly. And there is a depth to the characters, especially the main hero, an everyman whose girlfriend literally explodes when a runaway alternate-universe Flash charges through her while she's standing on the edge of a pavement. This tragedy - and they do a good job of making it feel tragic - powers most of the series so far.The other character with the most depth is, well...Homelander. They have leaned into the superpowers more than any other superhero show I've ever seen, really showing the consequences of, say, getting hit by a man moving at 1000mph - and the most liberating aspect of this is that they have a chance to show what a Superman would be capable of doing if he had no qualms about killing human beings. This is what making Homelander the villain gives you: the chance to demonstrate how truly menacing the world would be with a capricious, amoral Superman in it. And it is genuinely frightening. He is a frightening presence on screen. He has a dead smile, and cold, calculating eyes; always perfectly calm...until the mask slips just a little and we see the barely-restrained desire to hurt and maim that lies under the surface. He makes the viewer's skin crawl, and there are further aspects to his(truly warped) persona that make him even more disturbing. Like I said, I'm only three episodes in, but it's so much sheer, runaway FUN that I felt the need to give it a good write-up. I was leaning towards a 9/10....but the simple fact that I'm less than halfway through means I'm going to have to give it an 8. But absolutely take my word for it - I haven't felt enthused about a mainstream fantasy tv show like this since Game Of Thrones. That's high praise(let's forget seasons 6, 7 and(most especially) 8 existed and admit that GOT was one of the great TV shows for more than half of its run). I'd warn anyone reading that it's...really gory, in an absurdist, comic-book way. So if you don't like people's entrails popping out, or their brains getting slowly squashed out of their skull then maybe think twice. Don't say you weren't warned. Other than that, just watch it - more than anything else on telly right now it's just so much FUN."
10,SWEEPtheLEG175,"Jul 30, 2019",9,"When you look back over some of the best movies or shows of all time, you will find something they all have in common, a great VILLAIN.  This show has that and it has Karl Urban.  Dennis Quad/Meg Ryan's  kid is not bad either(usually the apple falls far from the tree...not here though)."
11,Faronlinegamers,"Oct  9, 2020",9,"The boys: A world where superheroes are basically dickheads, a world where superheroes have the stress and mental state as normal humans like you and me. Things I like: 1. The concept: Superheroe movies have always been about them being the good guys, take marvel: avengers for example, the boys however takes a very different and gory route, they basically take real life with a team of super heroes, like the justice league, and turn it into a super hero gore movie which personally Is refreshing to the superhero genre. 2. The gore: gore has barley been in superhero movies, especially marvel (unless we’re talking about deadpool 1+2), the boys uses this as an advantage using it to make a difference between normal superhero movies and their own show, it also allows the director or writers of the show to tell the story without any restrictions. 3. Character development: the story has multiple normal human being/superhero protagonists, for example one protagonist we start off with is Hughie Campbel, a normal human being who's (SPOILER) friend, named robin gets killed in a Dramatic gory way where A-Train (a speedster, like quicksilver or the flash) runs into Robin who explodes in a really gory way. The story later adds unique details about this character later on, eventually joining ”the boys”. With Billy. Things I don't like: the only thing I really dont like about the boys is the lack of huge fight scenes, obviously they probably didn't have the budget for that, but since the success of the first season, the might improve it in season 3, as they somewhat did in season 2."
12,greenisgood,"Jul 30, 2020",9,"TL;DR - When I started this show I assumed it would end in itself and could not think of any reason this would progress further than Season 1.But I cannot wait to see our fantastically written, exceptionally executed, morally flawed characters 'Supes' or Humans in Season 2. Avoiding all spoilers for this as I truly believe a fan of the genre whether it be comics, movies old or new should really watch it. This was a breath of fresh air. The writing of this show was on par with some of the best Pilot seasons we have gotten. After all of the Glimmering and Shinning portrayals of the 'Superhero' in current media it is good to see a point of view where we watch them being just as flawed and messed up as we can be. This makes sense considering they are existing in a world based on rules humans have created and hence would by default glorify and pursue everything that we covet/desire secretly or other wise. As much as I LOVE 'DC' my distaste for the DCEU is probably on par with the same. Snyder does have talent but I believe what this Show pulls off successfully is what he was going for, but unfortunately his own ego and heady themes overpowered the writing.It is downright funny to think in retrospect of people name-calling/labeling those who did not like DCEU and it's so called gritty realism, I bet MCU and or DCEU lovers and all alike will really find entertainment and satisfaction is this gritty, relatively realistic sometimes disturbing take on the 'Superhero' genre."
13,Bitbat,"Aug  3, 2019",8,"The first episode is the best part. This show goes into what's on the other side of Superheroes, and how a band of brothers in arms gets revenge for their fallen loved ones. The jokes are good. Be warned it is very graphic and contains mild nudity and dark humour."
14,MyOpinionReview,"Aug 29, 2019",10,"Fun, Action-packed, Comedy, Romance. The Boys has all of these things. From great and lovable characters to heroes gone bad, The Boys is now one of my favorite shows. From start to end is just so entertaining. Homelander is an amazing villain and Butcher is just brilliantly written. With great jokes from start to end. If you have Amazon Prime, this is a MUST watch."
15,hello_world,"Sep  9, 2019",7,"This is a dark take on the superheroes, not unlike other stories such as watchmen or irredeemable. It  still feels fresh as a television show nonetheless. Don't come in expecting a bombardment of action scenes as we are often expecting from the mainstream movies. The boys takes a much more dramatic and character driven story and manages to pull it off rather well.  The Boys came out at just the right time as it serves a critique on our current culture of idolising superheroes in our media and serves as a not so subtle allegory to celebrity culture in general."
16,Ixidorsdreams,"Jul 27, 2019",8,"I enjoyed the show very thoroughly thru five episodes and then began to wonder why it felt aimless.The twist at the end with Homelander and Becca being alive was definitely welcome (and well earned with how they played it during the lead up) as otherwise I worried they were going to fail to land this thing.Obviously there is source material to work from, but overall it was well acted and well written in terms if dialogue. Show has tons of potential for Season 2 with perhaps a (true) “evil” turn from The Deep being set up, Becca’s side of leaving with her kid from Homelander, Black Noir hasn’t really been investigated AT ALL, spots open on the Seven with A Train and Translucent gone (the laters death likely lumped with the prior for sake of media) and growth from the Kimiko character who appears to at minimum be Wolverine and potentially greater. Not to mention the Supe Terrorists which I expect is the main arch allowing Homelander to take further control in the Military. This was honestly a great surprise, and I’d started high on the show around 9/10 rating. Dipped it back down to a 6/7 when it wandered a bit in the middle, but really got me reinvested late."
17,dml1984,"Aug 14, 2019",8,"Great show. Funny, well acted, and nice alternative to the typical superhero flare. Highly recommend."
18,MarshallCavalli,"Aug 15, 2019",9,This is reminiscent of Watchmen in a good and bad way. Good that it deconstructs the genre of superhero stories and the characters. Bad because it is excessively graphic without having a reason to be so and a season closer that is not something that should be done.
19,cinekid,"Aug 23, 2019",9,"magine: what would happen if there were people with mega cool suppppapower, super hero organizations, competitions and tests to become a super star of justice ... yes like the avengers but ... not the avengers and above all not the marvel universe..but our world, full of corruption, wickedness, careerism, sadism, cynicism and ... money and power in the wrong hands, this is the beginning, do you think discounted it? I don't want to spoil it .. remember what I said: it's our world."
20,Snarkk,"Jan 14, 2020",7,"Indécent et caustique durant les tout premiers épisodes, avant de partir sur quelque chose de bien plus conventionnel malgré une réalisation ""moderne"" qui peut te faire croire que la série avance dans la lignée de son pilote. C'est faux, hélas. Ca n'en reste pas moins divertissant. Je tenterai probablement le coup pour la saison 2, mais sans trépigner d'avance pour autant."
21,wayrez,"May 16, 2020",8,"I recommend this series not only to fans of the genre, but also in general to all fans of cinema and TV series. Beautiful picture pleases the eye, gorgeous, chic soundtrack caresses the ear, the speaker is, the story keeps in suspense."
22,Reviewsformedia,"Oct 11, 2020",9,"I watched this back when it came out in late of last year. In August, I re-watched it in preparation for season 2. I enjoyed it even more. This won't be a long review but The Boys is a fantastic commentary on the superhero genre and the marketing business as a whole. It's got some great political messages that don't feel too forced and it's coated with an over the top, bloody flair filled with shocking and engaging story lines and moments made even better by the brilliantly written and wonderfully acted characters that bounce off of each other phenomenally well. My personal favourite is Homelander, Antony Starr is perfect in the role and his character is by far the most well written with the best development and moments. Overall, watching season 1 again gave me a much needed recap and even gave me an additional appreciation for the things in the show that i did't pay much attention to the first time around. It's gone up from my previous 8.5/10 to a solid 9. It's one of the best shows on TV right now and my personal favourite superhero show next to Daredevil. The only gripes i have is that the colour grading is kind of ass, some of Butcher's lines are a little too over the top with edge and now and again it has some choppy editing. Aside from that, The Boys is a fantastic show and a breath of fresh air into the superhero genre.4/59/10Overall - 8.66/10"
23,DarkWind47,"Jul 16, 2020",10,"Обалденный сериал! Очень крута идея, где главный герой не супергерой, а простой человек, тогда как супергерои настоящие злодеи. Рекомендую к просмотру, особенно в озвучке ""кубик в кубе"". Сам очень жду второй сезон"
24,Countdrugula,"Oct 17, 2020",8,Great show the imagry is art. Great story line realistic adaptation for if superheros existed. Well scripted and acted. Not for children
25,AthanasiosT,"Sep  8, 2019",10,"How would superheroes act, if they actually existed in real life ? Marvel and DC usually show their poetic versions, but this show goes deeply in the human psyche and shows a cruel and dark reality. Excellently written (adapted), directed, shot, and acted. A must for all superhero (adult) fans."
26,albethos,"Jul 29, 2019",9,"It's ""Watchmen"" meets ""Training Day"". By far, the best superhero (or, better yet, anti-hero) show ever to hit the TV screen ever."
27,JISIP333,"Jul 27, 2019",9,"A strong start! This updated storyline balances dark humor, drama and action as it drives new life into a corporation vs government premise. Very entertaining!"
28,Final-Say,"Jul 28, 2019",9,"The Boys was much more than i thought it would be. I was going into this show with slightly high hopes and i was pleasantly surprised by how quickly i was hooked. The effects were spot on, the acting was good and the writing was different and fun. Please do your self a favor and binge this ASAP. That's my Final Say."
29,user4msun,"Jul 26, 2019",10,amazing dark comedy fantasy Series.binge watched over the night. I have been waiting to see what it was going to offer but I was really satisfied .there was some dull moments but the rest of the story makes up for it.
30,hey07rsu,"Jul 28, 2019",10,Watch it!!!!!!!!!!!!!!! Watch it now!!!!! It’s so excellent. So very excellent.
31,spartacus215,"Jul 29, 2019",10,"I will start by saying that I have yet to read the graphic novel series by Garth Ennis though I intend to start it since I have bought the entire series. I’m strictly basing this review off of the show and not the contrasting differences of the comic. The show is about The Boys AKA a specialized group of people seeking to take down the conglomerate known as Vought who use The Seven whom is an alternative JL of sorts down. Simple yet very effective with a handful of really well done twists. The acting was Incredible. The standouts being The Homelander played by Antony Starr whom I’m overjoyed is coming off of his hit show Banshee. Literally killing it as a clone of Supes. The second being Billy Butcher played by Karl Urban. Incredible acting with multiple dashes of humor. Everyone as a collective did an outstanding job of selling the world minus one or two whom seemed out of place. The action was fire; this is what happens when you have a company like Amazon take the reins on a Mature comic and have no censorship and allowing the team to make it how it deserves to be made and in-turn allowing your fan base to be delighted. Lots of cursing and limbs flying to make the Cirque du Soleil jealous. The cinematography was stunning. The world being sold even though it’s on a small scale with it seeming to expand in S2. I’d recommend this show in a heartbeat if you enjoy the likes of Deadpool, Logan and other M rated versions of comic related material. 8 episodes goes by way too fast. Excited for S2."
32,Rooster7102,"Aug  6, 2019",10,Was hooked after the first 15 minutes of episode one. Enjoyed the multiple character storylines. Was a fun ride seeing super heroes in a different light.
33,BioTofu,"Nov 26, 2019",9,"Super hero movie done right. Good story, good world building, good characters, good acting."
34,papadrew7,"Aug  1, 2019",10,"What an incredible first season! The boys put a great original spin on the super genre by, I believe, making super heroes more realistic. The timeless saying goes 'Power corrupts and absolute power corrupts absolutely.' Realistically super heroes would not act like saints like in the marvel universe but far more like this show does. Which is why I love this show. The acting is great. The story is captivating and I never feel like the series is slowing down. What I also love is that from the first episode you know that this not a show for kids and it GOES THERE and shows very disturbing scenes. Also homelander is one of the best villains I have seen in a long time and starlight was great as well."
35,MonsieurAthos,"Oct 26, 2019",9,"Hallelujah! A superhero show that knows how to invert the genre without falling prey to the sort of hamfisted preaching that the ""make everything political"" zealots infuse their clockwork hypno-propaganda with, churning out unwashed ideas from the looney tune sausage factory. This show has verve, takes risks and brandishes  iconoclastic jabs at everything with equal hilarious measure, knowing above all else the value of providing ""hell yes"" entertainment. And the Homelander character makes missed-opportunity-Brightburn look like a punk. Loving these twisted takes on comics! Watch this instead of cringe AF Watchmen."
36,andreag,"Jul 26, 2019",10,Incredibly sharp and timely deconstruction of superheroes. Highly recommend.
37,Lightning123,"Jul 28, 2019",10,"Never thought this show will be too good. If you are searching for a good show right now which is really hard to find ,watch this show without giving a second thought and thank me later"
38,insickness,"Jul 30, 2019",10,"Netflix, pay attention: this is how superhero shows are made. Engaging from start to finish. Not endless melodramatic talky filler. Sex, violence, a lot of plot movement and a great story. I just hope the next season is as good as this one."
39,clifffranklin,"Sep 20, 2020",0,"Rather than accept blame and show grace, Eric Kripke chooses to insult fans with ‘NEON LIGHTS’ put-down. DON’T BITE THE HAND THAT FEEDS KRIPKE, Do you need that in neon lights?"
40,Shaka_Igloo,"Aug  9, 2019",10,Great fun TV show that isn't just a soap opera with heavily choreographed fight scenes.
41,CloverX,"Aug 10, 2019",10,"STFU Metacritic, THIS is the best series about heroes and one of the best series of the year. This series on other websites with series has very good reviews, only you are still underrated. only your site shows average ratings. You are completely unreliable stfu THE BOYS : SEASON 1 10/10"
42,7antos,"Aug  4, 2019",10,"As a average super heroes movie fan, i loved how they showed the ''human'' side of a super hero and how in their situation its more probably to be a super villain instead, and Haley Osment its in !!!"
43,Notabotiswear,"Jul 28, 2019",10,It is just perfect. It is how superheros would probably be like in the real world.
44,myrabrandish,"Sep 20, 2020",0,"I’ve peered on numerous sites and was going to remain silent until I heard the series creator’s response to the backlash. What an arrogant little troll. Anyone blasting 1 star displeasure as ‘immature’ --- SHAME ON YOU! Since we weren’t surveyed, this provides an effective medium to express our disdain towards the decision makers at amazon thereby improving the likelihood they won’t repeat these mistakes during season 3 (which has already been renewed). Although I disapprove of the release schedule, what irks me the most is the lack of transparency. I am not the only person duped into believing that this season would be released congruently. Streaming services are becoming aware that middle America patterns their subscription habits around the service release schedules. Couple months on this one, then a couple on that. I can’t afford all of them simultaneously. If amazon was clear that a weekly release schedule was there plan, I would have postponed my membership for another month and enjoyed bingeing the season entirely within ONE Billing Cycle. I’m not the world’s richest man. I’m a single mother struggling with reduced hours during a pandemic. That’s why I’m pissed. You baited me into TWO Billing cycles instead of ONE. Decision wasn’t for ‘”weekly conversations” it was a Ca$h Grab."
45,courtneyhaine,"Sep 20, 2020",0,Not true to the comics AT ALL. Why does Hollywood need to push its leftist agenda constantly and dump all over the source material!!! Next...
46,Rudyger,"Nov  3, 2019",5,"Despite some annoying characters (Hughie, Frenchie), the first 4 episodes are truly amazing. One of the best shows of the last few years, and a really interesting take on superheroes. However, after episode 5, the series strangely plummets into average content. Bad and redundant dialogue. Boring plot points...etc. I guess most of the 10 ratings were given right after the first few episodes. It's impossible not to notice the hard change between the first and second half. And the season finale cliffhanger left me quite... indifferent. 10/10 for episodes 1 to 4.3/10 for episodes 5 to 8"
47,SilverCenturion,"Jul 28, 2019",5,"Drops any premise of faithfulness to the source material after the first episode. Completely disregards the point of the original. Very mediocre story. Typical Hollywood misrepresentations of Christians abound. The ""twist"" at the end sucked and could be seen coming from a mile away. I gave it a five because I love the characters. I'd probably give it a six if it didn't take so long to bring The Female into the fold. Watch it if you're bored, but don't drop something else in favor of The Boys."
