character,show,gender,race,role,studio,representation,orientation,year,platform,confirmation,disability,rating
Acid Storm,Transformers: Cyberverse,Genderfluid,N/A,Recurring Character,"Allspark Animation, Boulder Media Limited",Implicit,Unknown,2018,Cartoon Network,"Social Media, Gender Presentation",,
Adam,The Hollow,"Cis, Man",POC,Main Character,Slap Happy Cartoons,Explicit,Gay,2020,Netflix,"Identity in Dialogue, LGBTQ Symbols/Symbolism",,
Adam,Voltron: Legendary Defender,"Cis, Man",Unknown,Guest Character,"DreamWorks Animation Television, World Events Productions",Explicit,Gay,2018,Netflix,"Marketing, Character Proximity",Blurred-Vision,
Adora,She-Ra and the Princesses of Power,"Cis, Woman",White,Main Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Lesbian,2020,Netflix,"Kiss, Romantic Gestures, Romantic Partnership",,
Alexander,Big City Greens,"Cis, Man",Undetermined,Recurring Character,Disney Television Animation,Implicit,Gay,2018,Disney Channel,"Social Media, Character Proximity",,TV-Y7
Alexandrite,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2014,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Alice,The Loud House,"Cis, Woman",POC,Guest Character,Nickelodeon Animation Studio,Explicit,Lesbian,2020,Nickelodeon,"Social Media, Romantic Partnership",,TV-Y7
Alien King,Summer Camp Island,Unknown,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2018,"Cartoon Network, HBO Max","Confession, Romantic Gestures, Affection",,TV-Y7
Amabel,Victor & Valentino,"Cis, Woman",POC,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2019,Cartoon Network,Affection ,,
Amaya,The Dragon Prince,"Cis, Woman",White,Recurring Character,"MWM Studios, Wonderstorm",Implicit,Lesbian,2020,Netflix,"Social Media, Affection",Deaf,
Amethyst,Steven Universe,Genderfluid,N/A,Supporting Character,Cartoon Network Studios,Explicit,Queer,2014,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Amity Blight,The Owl House,Woman,N/A,Supporting Character,Disney Television Animation,Explicit,Lesbian,2020,Disney Channel,"Creative Team Interview, Romantic Gestures, Social Media",,TV-Y7
Angel Jose,Craig of the Creek,Agender,POC,Recurring Character,Cartoon Network Studios,Explicit,Queer,2019,Cartoon Network,"Pronouns, Social Media, Voice Actor",,TV-Y7
Annika,The Dragon Prince,"Cis, Woman",White,Guest Character,"MWM Studios, Wonderstorm",Explicit,Unknown,2019,Netflix,"Kiss, Romantic Partnership, Parenting",,
Apple White,Ever After High,"Cis, Woman",White,Supporting Character,Mattel Playground Productions,Explicit,Unknown,2016,"Ever After High YouTube Channel, Netflix","Insider Confirmation, Kiss",,TV-G
Asami Sato,The Legend of Korra,"Cis, Woman",POC,Supporting Character,Nickelodeon Animation Studio,Explicit,Bisexual,2014,Nickelodeon,"Social Media, Affection, Companion Material",,
Asher Berdacs,Kipo and the Age of Wonderbeasts,Nonbinary,Undetermined,Recurring Character,DreamWorks Animation Television,Implicit,Undetermined,2020,Netflix,Social Media ,,TV-Y7
Aunt Holiday,My Little Pony: Friendship is Magic,Woman,N/A,Guest Character,"Hasbro Studios, WildBrain Studios",Explicit,Unknown,2019,Discovery Family,"Social Media, Parenting, Character Proximity",,TV-Y
Auntie Lofty,My Little Pony: Friendship is Magic,Woman,N/A,Guest Character,"Hasbro Studios, WildBrain Studios",Explicit,Unknown,2019,Discovery Family,"Social Media, Companion Material, Romantic Partnership",,TV-Y
BL1P,Danger & Eggs,Nonbinary,N/A,Recurring Character,"PUNY Entertainment, Amazon Studios",Implicit,Undetermined,2021,Amazon Prime Video,"Insider Confirmation, Voice Actor, Figure of Speech",,TV-G
BMO,Adventure Time,Genderless,N/A,Recurring Character,"Cartoon Network Studios, Frederator Studios",Explicit,Unknown,2011,Cartoon Network,"Pronouns, Companion Material",,TV-PG
Beefhouse,Twelve Forever,Man,N/A,Recurring Character,"PUNY Entertainment, The Cartel",Explicit,Unknown,2019,Netflix,"Character Proximity, Kiss",,TV-PG
Benson,Kipo and the Age of Wonderbeasts,"Cis, Man",POC,Main Character,DreamWorks Animation Television,Explicit,Gay,2020,Netflix,"Identity in Dialogue, Kiss, Romantic Partnership",,TV-Y7
Bismuth,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Queer,2016,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Black Strategy,OK K.O.! Let's Be Heroes,"Cis, Woman",POC,Guest Character,Cartoon Network Studios,Implicit,Lesbian,2019,Cartoon Network,Social Media ,,
Blaytz,Voltron: Legendary Defender,Man,N/A,Recurring Character,"DreamWorks Animation Television, World Events Productions",Explicit,Unknown,2018,Netflix,"Creative Team Interview, Affection",,
Blue Diamond,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2016,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Blue Pearl,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2017,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Blue Power,OK K.O.! Let's Be Heroes,"Cis, Woman",POC,Guest Character,Cartoon Network Studios,Implicit,Lesbian,2019,Cartoon Network,Social Media ,,
Bow,She-Ra and the Princesses of Power,"Cis, Man",POC,Main Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Bisexual,2020,Netflix,Social Media ,,
Bunny,Courage the Cowardly Dog,Woman,N/A,Guest Character,"Stretch Films, Inc.",Implicit,Unknown,2019,Cartoon Network,"Social Media, Affection",,
Carrot Propulsion,Ready Jet Go!,Unknown,N/A,Supporting Character,"Wind Dancer Films, Snee-Oosh Productions",Implicit,Unknown,2020,PBS Kids,Social Media ,,TV-Y
Cassidy,W.I.T.C.H.,"Cis, Woman",White,Recurring Character,"SIP Animation, The Walt Disney Company",Implicit,Lesbian,2014,"ABC Kids, Toon Disney",Social Media ,,TV-Y7
Cassie Cryar,Star Wars: The Clone Wars,Woman,N/A,Guest Character,Lucasfilm Animation,Implicit,Unknown,2016,"Cartoon Network, Disney+, Netflix",Social Media ,,TV-PG
Catra,She-Ra and the Princesses of Power,"Cis, Woman",POC,Main Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Lesbian,2020,Netflix,"Kiss, Romantic Gestures, Romantic Partnership",,
Celery Propulsion,Ready Jet Go!,Unknown,N/A,Supporting Character,"Wind Dancer Films, Snee-Oosh Productions",Implicit,Unknown,2020,PBS Kids,Social Media ,,TV-Y
Chloé,Star vs. the Forces of Evil,"Cis, Woman",POC,Guest Character,Disney Television Animation,Implicit,Unknown,2019,"Disney Channel, Disney XD","Social Media, Character Proximity, Affection",,TV-Y7
Classmate,3Below: Tales of Arcadia,"Cis, Woman",White,Recurring Character,DreamWorks Animation Television,Explicit,Queer,2019,Netflix,Kiss ,,
Conelly,Twelve Forever,"Cis, Woman",POC,Guest Character,"PUNY Entertainment, The Cartel",Implicit,Queer,2019,Netflix,"Insider Confirmation, Voice Actor",,TV-PG
Connie,6Teen,"Cis, Woman",White,Recurring Character,"Nelvana, Fresh TV",Explicit,Lesbian,2010,"Nickelodeon, Cartoon Network",Romantic Partnership ,,TV-PG
Corporate Raider Emanual,Danger & Eggs,Unknown,White,Guest Character,"PUNY Entertainment, Amazon Studios",Explicit,Unknown,2017,Amazon Prime Video,"Parenting, Voice Actor",,TV-G
Corporate Raider Gary,Danger & Eggs,Unknown,White,Guest Character,"PUNY Entertainment, Amazon Studios",Explicit,Unknown,2017,Amazon Prime Video,"Parenting, Voice Actor",,TV-G
Courtney,Craig of the Creek,"Cis, Woman",White,Recurring Character,Cartoon Network Studios,Explicit,Lesbian,2019,Cartoon Network,"Kiss, Affection",,TV-Y7
Crimson Waste Barmaid,She-Ra and the Princesses of Power,Woman,N/A,Guest Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Queer,2019,Netflix,Affection ,,
Curtis,The Hollow,"Cis, Man",POC,Guest Character,Slap Happy Cartoons,Explicit,Gay,2020,Netflix,Parenting ,,
Curtis,Voltron: Legendary Defender,"Cis, Man",Unknown,Guest Character,"DreamWorks Animation Television, World Events Productions",Explicit,Gay,2018,Netflix,"Kiss, Proposal/Marriage",,
D.D. Danger,Danger & Eggs,Masc,White,Main Character,"PUNY Entertainment, Amazon Studios",Explicit,Queer,2017,Amazon Prime Video,"Creative Team Interview, Romantic Gestures, Affection",ADHD/Asthma,TV-G
Dana Dufresne,The Loud House,"Trans, Woman",White,Recurring Character,Nickelodeon Animation Studio,Implicit,Undetermined,2019,Nickelodeon,"Social Media, Voice Actor",Blurred-Vision,TV-Y7
Darling Charming,Ever After High,"Cis, Woman",White,Recurring Character,Mattel Playground Productions,Explicit,Unknown,2016,"Ever After High YouTube Channel, Netflix","Insider Confirmation, Kiss",,TV-G
Defense Zircon,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2017,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Deputy Durland,Gravity Falls,"Cis, Man",White,Recurring Character,Disney Television Animation,Explicit,Unknown,2016,"Disney Channel, Disney XD","Confession, Affection, Creative Team Interview",,TV-Y7
Dolphin Mom 1,T.O.T.S.,Woman,N/A,Guest Character,Titmouse,Explicit,Unknown,2020,"Disney Channel, Disney Junior",Parenting ,,TV-Y
Dolphin Mom 2,T.O.T.S.,Woman,N/A,Guest Character,Titmouse,Explicit,Unknown,2020,"Disney Channel, Disney Junior",Parenting ,,TV-Y
Double Trouble,She-Ra and the Princesses of Power,Nonbinary,N/A,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Queer,2019,Netflix,"Creative Team Interview, Pronouns, Marketing",,
Dr. Kevin,The Boss Baby: Back in Business,"Cis, Man",POC,Guest Character,DreamWorks Animation Television,Implicit,Gay,2021,Netflix,Insider Confirmation ,Blurred-Vision,TV-Y7
Dr. Mulberry,Clifford the Big Red Dog,"Cis, Woman",POC,Recurring Character,Amazon Studios,Explicit,Lesbian,2020,"Amazon Prime Video, PBS Kids",Parenting ,,TV-Y
EJ Randell,Clarence,"Cis, Woman",White,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2014,Cartoon Network,Parenting ,,TV-PG
Edie,Doc McStuffins,"Cis, Woman",White,Guest Character,Brown Bag Films,Explicit,Lesbian,2017,Disney Junior,"Parenting, Voice Actor",,TV-Y
"Eduardo ""Ed"" Dorado Jr.",Young Justice,"Cis, Man",POC,Recurring Character,"DC Entertainment, Warner Bros. Animation",Implicit,Gay,2021,"Cartoon Network, DC Universe",Insider Confirmation ,,TV-PG
Emerald,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2018,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Enid,OK K.O.! Let's Be Heroes,"Cis, Woman",POC,Main Character,Cartoon Network Studios,Explicit,Bisexual,2019,Cartoon Network,"Social Media, Kiss, LGBTQ Symbols/Symbolism",,
Entrapta,She-Ra and the Princesses of Power,"Cis, Woman",POC,Supporting Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Pansexual,2020,Netflix,Social Media ,Autistic,
Ethari,The Dragon Prince,Man,N/A,Guest Character,"MWM Studios, Wonderstorm",Explicit,Unknown,2019,Netflix,"Kiss, Romantic Partnership, Affection",,
Eugene Horowitz,Hey Arnold!,"Cis, Man",White,Recurring Character,"Snee-Osh Productions, Nickelodeon Animation Studio",Implicit,Gay,2016,Nickelodeon,Creative Team Interview ,,TV-Y7
Eyeball,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2016,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Falcon,She-Ra and the Princesses of Power,"Cis, Man",White,Guest Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Queer,2020,Netflix,Social Media ,,
Flix,Star Wars Resistance,Man,N/A,Recurring Character,Lucasfilm Animation,Explicit,Gay,2019,"Disney Channel, Disney XD","Creative Team Interview, Romantic Partnership",,TV-Y7
Galaxander,Twelve Forever,Man,N/A,Guest Character,"PUNY Entertainment, The Cartel",Explicit,Unknown,2019,Netflix,"Romantic Partnership, Confession",,TV-PG
Garnet,Steven Universe,Nonbinary,N/A,Supporting Character,Cartoon Network Studios,Explicit,Queer,2014,Cartoon Network,"Social Media, Romantic Partnership",,TV-PG
George,She-Ra and the Princesses of Power,"Cis, Man",POC,Guest Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Gay,2018,Netflix,"Creative Team Interview, Marketing, Parenting",,
Ghost Dad 1,Summer Camp Island,Man,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2018,"Cartoon Network, HBO Max",Parenting ,,TV-Y7
Ghost Dad 2,Summer Camp Island,Man,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2018,"Cartoon Network, HBO Max",Parenting ,,TV-Y7
Gillian,Postcards from Buster,"Cis, Woman",White,Guest Character,"Marc Brown Studios, WGBH Studios",Explicit,Lesbian,2005,PBS Kids,Parenting ,,TV-Y
Glimmer,She-Ra and the Princesses of Power,"Cis, Woman",POC,Main Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Bisexual,2020,Netflix,Social Media ,,
Gobber,DreamWorks Dragons,"Cis, Man",White,Supporting Character,DreamWorks Animation Television,Implicit,Gay,2019,"Cartoon Network, Netflix","Creative Team Interview, Companion Material",Amputee/Limb-Difference,
Gomez,Danger & Eggs,"Cis, Man",POC,Recurring Character,"PUNY Entertainment, Amazon Studios",Implicit,Gay,2021,Amazon Prime Video,"Insider Confirmation, Voice Actor, LGBTQ Cultural References",,TV-G
Green Guts,OK K.O.! Let's Be Heroes,"Cis, Woman",POC,Guest Character,Cartoon Network Studios,Implicit,Lesbian,2019,Cartoon Network,Social Media ,,
Gregg,OK K.O.! Let's Be Heroes,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Implicit,Undetermined,2019,Cartoon Network,Social Media ,,
Gumball Watterson,The Amazing World of Gumball,Man,N/A,Main Character,Cartoon Network Development Studio Europe,Implicit,Unknown,2019,Cartoon Network,"Social Media, Affection",,TV-Y7
Harold McBride,The Loud House,"Cis, Man",POC,Recurring Character,Nickelodeon Animation Studio,Explicit,Gay,2016,Nickelodeon,Parenting ,,TV-Y7
Harold Smiley,Steven Universe,"Cis, Man",POC,Recurring Character,Cartoon Network Studios,Implicit,Gay,2016,Cartoon Network,"Social Media, Figure of Speech, Companion Material",,TV-PG
Holly Blue Agate,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2017,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Houston,Braceface,"Cis, Man",POC,Guest Character,"Jade Animation, Nelvana",Explicit,Gay,2004,Fox Family Channel,"LGBTQ Symbols/Symbolism, Figure of Speech",Blurred-Vision,TV-G
Howard McBride,The Loud House,"Cis, Man",White,Recurring Character,Nickelodeon Animation Studio,Explicit,Gay,2016,Nickelodeon,Parenting ,,TV-Y7
Huntura,She-Ra and the Princesses of Power,Woman,N/A,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Queer,2019,Netflix,Romantic Gestures ,,
Indy Sabrewing,DuckTales,Man,N/A,Guest Character,Disney Television Animation,Explicit,Unknown,2019,"Disney Channel, Disney XD",Parenting ,,TV-Y7
Ione Marcy,Star Wars: The Clone Wars,Woman,N/A,Guest Character,Lucasfilm Animation,Implicit,Unknown,2016,"Cartoon Network, Disney+, Netflix",Social Media ,,TV-PG
Irma Lair,W.I.T.C.H.,"Cis, Woman",White,Main Character,"SIP Animation, The Walt Disney Company",Implicit,Lesbian,2005,"ABC Kids, Toon Disney","Social Media, Romantic Rejection/Avoidance",,TV-Y7
Jackie Lynn Thomas,Star vs. the Forces of Evil,"Cis, Woman",White,Recurring Character,Disney Television Animation,Implicit,Unknown,2019,"Disney Channel, Disney XD","Social Media, Character Proximity, Affection",,TV-Y7
Janai,The Dragon Prince,Woman,N/A,Recurring Character,"MWM Studios, Wonderstorm",Implicit,Lesbian,2020,Netflix,"Social Media, Affection",,
Janine Renard/Fox,Gargoyles,"Cis, Woman",White,Recurring Character,"Disney Television Animation, Nelvana",Implicit,Bisexual,2014,"ABC Kids, Disney Afternoon","Social Media, Creative Team Interview",,TV-Y7
Jasmine Williams,Craig of the Creek,"Cis, Woman",POC,Recurring Character,Cartoon Network Studios,Explicit,Lesbian,2019,Cartoon Network,"Romantic Partnership, Social Media, Confession",,TV-Y7
Jasper,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Queer,2015,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Jean,6Teen,"Cis, Woman",White,Guest Character,"Nelvana, Fresh TV",Explicit,Lesbian,2010,"Nickelodeon, Cartoon Network","Identity in Dialogue, Romantic Partnership",,TV-PG
Jeffrey/Desirée,Too Loud,"Trans, Woman",White,Main Character,DreamWorks Animation,Explicit,Undetermined,2019,Peacock Kids YouTube Channel,"Confession, Identity in Dialogue, Social Media",,TV-Y7
Jet Propulsion,Ready Jet Go!,Unknown,N/A,Main Character,"Wind Dancer Films, Snee-Oosh Productions",Implicit,Unknown,2020,PBS Kids,Social Media ,,TV-Y
Jewelstar,She-Ra and the Princesses of Power,"Trans, Man",N/A,Guest Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Undetermined,2020,Netflix,Social Media ,Blurred-Vision,
Joff,OK K.O.! Let's Be Heroes,"Cis, Man",POC,Recurring Character,Cartoon Network Studios,Explicit,Gay,2019,Cartoon Network,"Proposal/Marriage, Confession, Social Media",,
Johnson,WordGirl,"Cis, Man",Unknown,Recurring Character,"Scholastic, Soup2Nuts",Implicit,Unknown,2014,PBS Kids,"Social Media, Affection",,TV-Y7
Kaldur'ahm,Young Justice,"Cis, Man",POC,Main Character,"DC Entertainment, Warner Bros. Animation",Explicit,Bisexual/Pansexual/Polysexual,2019,"Cartoon Network, DC Universe","Creative Team Interview, Affection, Social Media",,TV-PG
Karen,Postcards from Buster,"Cis, Woman",White,Guest Character,"Marc Brown Studios, WGBH Studios",Explicit,Lesbian,2005,PBS Kids,Parenting ,,TV-Y
Kat,Craig of the Creek,"Cis, Woman",POC,Guest Character,Cartoon Network Studios,Explicit,Lesbian,2018,Cartoon Network,Romantic Partnership ,,TV-Y7
Kazi,The Dragon Prince,Nonbinary,N/A,Guest Character,"MWM Studios, Wonderstorm",Implicit,Unknown,2019,Netflix,Social Media ,Blurred-Vision,
Kelsey Pokoly,Craig of the Creek,"Cis, Woman",White,Main Character,Cartoon Network Studios,Implicit,Lesbian,2021,Cartoon Network,"Insider Confirmation, Affection",,TV-Y7
Kevin,6Teen,"Cis, Man",White,Guest Character,Nelvana,Explicit,Gay,2008,"Nickelodeon, Cartoon Network","Figure of Speech, Romantic Rejection/Avoidance, LGBTQ Cultural References",,TV-PG
Kevin,Clarence,"Cis, Man",White,Guest Character,Cartoon Network Studios,Explicit,Unknown,2014,Cartoon Network,"Romantic Partnership, Kiss",,TV-PG
Kiki Pizza,Steven Universe,Unknown,POC,Recurring Character,Cartoon Network Studios,Implicit,Unknown,2017,Cartoon Network,Companion Material ,,TV-PG
Kitty,Courage the Cowardly Dog,Woman,N/A,Guest Character,"Stretch Films, Inc.",Implicit,Unknown,2019,Cartoon Network,"Social Media, Affection",,
Kitty Boon,Mysticons,"Cis, Woman",POC,Recurring Character,Nelvana,Explicit,Lesbian,2018,"Nickelodeon, Nicktoons","Social Media, Affection, Confession",,TV-Y7
Knock Out,Transformers: Prime,Man,N/A,Supporting Character,"Hasbro Studios, K/O Paper Products",Implicit,Gay,2011,"Discovery Family, The CW's Vortexx",Marketing ,,
Korra,The Legend of Korra,"Cis, Woman",POC,Main Character,Nickelodeon Animation Studio,Implicit,Bisexual,2014,Nickelodeon,"Social Media, Companion Material, Romantic Symbols/Symbolism",PTSD,
Kya,The Legend of Korra,"Cis, Woman",POC,Recurring Character,Nickelodeon Animation Studio,Implicit,Unknown,2017,Nickelodeon,Companion Material ,,
Kyle,She-Ra and the Princesses of Power,"Cis, Man",White,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Gay,2020,Netflix,"Social Media, Confession, Character Proximity",,
Kyoshi,The Legend of Korra,"Cis, Woman",POC,Guest Character,Nickelodeon Animation Studio,Explicit,Bisexual,2018,Nickelodeon,Companion Material ,,
Lainey,The Loud House,"Cis, Woman",White,Guest Character,Nickelodeon Animation Studio,Explicit,Lesbian,2020,Nickelodeon,"Social Media, Romantic Partnership",,TV-Y7
Lance,She-Ra and the Princesses of Power,"Cis, Man",POC,Guest Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Gay,2018,Netflix,"Creative Team Interview, Marketing, Parenting",Blurred-Vision,
Lapis Lazuli,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Queer,2014,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Lars Barriga,Steven Universe,Unknown,POC,Recurring Character,Cartoon Network Studios,Implicit,Queer,2014,Cartoon Network,"Affection, Romantic Partnership",,TV-PG
Laura Mercer,Craig of the Creek,"Cis, Woman",White,Recurring Character,Cartoon Network Studios,Explicit,Lesbian,2018,Cartoon Network,"Romantic Partnership, Voice Actor",,TV-Y7
Layla,Danger & Eggs,"Cis, Woman",POC,Guest Character,"PUNY Entertainment, Amazon Studios",Implicit,Queer,2021,Amazon Prime Video,"Insider Confirmation, Voice Actor",Neurodivergent,TV-G
Lemon Jade,Steven Universe,Nonbinary,N/A,Guest Character,Cartoon Network Studios,Explicit,Unknown,2018,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Leslie,The Amazing World of Gumball,Unknown,N/A,Recurring Character,Cartoon Network Development Studio Europe,Implicit,Unknown,2017,Cartoon Network,"LGBTQ Cultural Activities, LGBTQ Cultural References",,TV-Y7
Lexington,Gargoyles,Man,N/A,Supporting Character,"Disney Television Animation, Nelvana",Implicit,Gay,2008,"ABC Kids, Disney Afternoon","Creative Team Interview, Social Media",,TV-Y7
Light Hope,She-Ra and the Princesses of Power,Woman,N/A,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Queer,2019,Netflix,"Creative Team Interview, Social Media",,
Lonnie,She-Ra and the Princesses of Power,"Cis, Woman",POC,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Undetermined,2020,Netflix,"Social Media, Character Proximity",,
Loo,Dawn of the Croods,"Cis, Man",POC,Recurring Character,DreamWorks Animation Television,Explicit,Gay,2017,Netflix,"Kiss, Character Proximity",,TV-Y7
Lord Boxman,OK K.O.! Let's Be Heroes,"Cis, Man",Undetermined,Recurring Character,Cartoon Network Studios,Explicit,Pansexual,2019,Cartoon Network,"Social Media, Affection, Romantic Gestures",,
Luna Loud,The Loud House,"Cis, Woman",White,Supporting Character,Nickelodeon Animation Studio,Explicit,Lesbian/Bisexual,2017,Nickelodeon,"Confession, Romantic Gestures, Romantic Partnership",,TV-Y7
Luz Noceda,The Owl House,"Cis, Woman",POC,Main Character,Disney Television Animation,Explicit,Bisexual,2020,Disney Channel,"Creative Team Interview, Affection, Social Media",,TV-Y7
Lyra Heartstrings,My Little Pony: Friendship is Magic,Woman,N/A,Recurring Character,"Hasbro Studios, WildBrain Studios",Explicit,Unknown,2019,Discovery Family,"Romantic Partnership, Character Proximity",,TV-Y
Mack,Twelve Forever,Man,N/A,Recurring Character,"PUNY Entertainment, The Cartel",Explicit,Unknown,2019,Netflix,"Character Proximity, Kiss",,TV-PG
Maggie Sawyer,Superman: The Animated Series,"Cis, Woman",White,Recurring Character,Warner Bros. Animation,Implicit,Lesbian,2009,Kids' WB,"Creative Team Interview, Character Proximity, Companion Material",,TV-PG
Malachite,Steven Universe,Nonbinary,N/A,Recurring Character,Cartoon Network Studios,Explicit,Unknown,2015,Cartoon Network,"Social Media, Creative Team Interview",,TV-PG
Mara,She-Ra and the Princesses of Power,"Cis, Woman",POC,Recurring Character,"DreamWorks Animation Television, Mattel Creations",Explicit,Queer,2019,Netflix,"Creative Team Interview, Social Media",,
Marceline the Vampire Queen,Adventure Time,Woman,N/A,Recurring Character,"Cartoon Network Studios, Frederator Studios",Explicit,Unknown,2018,Cartoon Network,Kiss ,,TV-PG
Marcie Fleach,Scooby Doo! Mystery Incorporated,"Cis, Woman",White,Recurring Character,Warner Bros. Animation,Implicit,Unknown,2020,Cartoon Network,"Social Media, Character Proximity",Blurred-Vision,
Marie Logan,Young Justice,"Cis, Woman",White,Guest Character,"DC Entertainment, Warner Bros. Animation",Implicit,Lesbian,2013,"Cartoon Network, DC Universe","Companion Material, Social Media",,TV-PG
Mark Dion Jones,Braceface,"Cis, Man",White,Recurring Character,"Jade Animation, Nelvana",Explicit,Gay,2004,Fox Family Channel,"LGBTQ Cultural References, Figure of Speech",Blurred-Vision,TV-G
Merkid,Craig of the Creek,Nonbinary,POC,Guest Character,Cartoon Network Studios,Explicit,Undetermined,2020,Cartoon Network,"Insider Confirmation, Pronouns",,TV-Y7
Mermista,She-Ra and the Princesses of Power,"Cis, Woman",POC,Supporting Character,"DreamWorks Animation Television, Mattel Creations",Implicit,Bisexual,2020,Netflix,"Social Media, Affection, Romantic Partnership",,
Michael Collins,The Proud Family,"Cis, Man",POC,Recurring Character,"Disney Television Animation, Jambalaya Studio",Implicit,Unknown,2005,Disney Channel,LGBTQ Cultural References ,,TV-G
Miguel,The Loud House,"Cis, Man",POC,Recurring Character,Nickelodeon Animation Studio,Implicit,Gay,2021,Nickelodeon,"Insider Confirmation, Voice Actor",,TV-Y7
Milo,Danger & Eggs,Nonbinary,POC,Guest Character,"PUNY Entertainment, Amazon Studios",Explicit,Undetermined,2017,Amazon Prime Video,"Pronouns, Creative Team Interview, Voice Actor",,TV-G
Mom Worm,The Bug Diaries,Woman,N/A,Recurring Character,"Amazon Studios, Lighthouse Studios",Explicit,Lesbian,2019,Amazon Prime Video,Parenting ,,TV-Y
Moma Worm,The Bug Diaries,Woman,N/A,Recurring Character,"Amazon Studios, Lighthouse Studios",Explicit,Lesbian,2019,Amazon Prime Video,Parenting ,,TV-Y
Mrs. Cruz,DC Super Hero Girls,"Cis, Woman",Unknown,Guest Character,"DC Entertainment, Warner Bros. Animation",Explicit,Unknown,2020,Cartoon Network,Parenting ,,TV-PG
